-814, -380, 127
-707, -438, 102
-636, -519, 94
-627, -493, 53
-645, -483, 27
-666, -470, 118
-704, -434, 193
-704, -434, 193
-713, -390, 141
-731, -350, 120
-858, -269, 197
-990, -171, 258
-1022, -139, 206
-1018, -150, 215
-1027, -201, 300
-1086, -157, 291
-1209, -49, 340
-1207, -6, 294
-1170, 0, 253
-1200, 51, 319
-1257, 111, 395
-1276, 129, 418
-1229, 92, 410
-1187, 70, 400
-1224, 116, 415
-1239, 154, 394
-1239, 154, 394
-1203, 153, 338
-1155, 152, 318
-1126, 155, 294
-1127, 180, 312
-1107, 178, 325
-1085, 188, 332
-1050, 179, 324
-1008, 138, 319
-991, 115, 303
-989, 104, 330
-968, 69, 337
-983, 36, 346
-1004, 2, 374
-1004, 2, 374
-976, -34, 375
-942, -58, 399
-916, -94, 396
-923, -132, 382
-934, -171, 372
-935, -186, 369
-922, -181, 352
-940, -192, 357
-962, -211, 371
-948, -223, 364
-956, -194, 358
-957, -220, 412
-949, -247, 437
-949, -247, 437
-937, -269, 420
-944, -258, 407
-958, -217, 381
-942, -240, 357
-929, -242, 318
-920, -264, 334
-939, -222, 330
-977, -196, 346
-966, -217, 342
-920, -261, 320
-910, -273, 339
-933, -257, 358
-954, -243, 363
-932, -251, 320
-912, -277, 307
-929, -273, 337
-942, -259, 348
-948, -238, 326
-916, -266, 317
-905, -284, 337
-915, -281, 355
-915, -281, 355
-923, -272, 337
-909, -282, 329
-898, -291, 325
-899, -297, 333
-908, -287, 328
-916, -277, 326
-915, -279, 328
-909, -280, 318
-910, -279, 317
-903, -288, 295
-913, -286, 306
-933, -282, 373
-945, -292, 396
-919, -295, 382
-,-,-
-821, -280, -131
-884, -328, 6
-897, -385, 85
-878, -340, 47
-878, -340, 47
-787, -361, 10
-746, -402, 153
-687, -535, 232
-623, -655, 245
-579, -665, 189
-605, -560, 89
-721, -491, 173
-757, -496, 222
-825, -372, 183
-996, -162, 180
-1088, -55, 175
-1087, -78, 170
-1038, -150, 186
-994, -153, 179
-1076, -34, 191
-1077, -56, 236
-1025, -136, 256
-955, -219, 205
-955, -219, 205
-1012, -149, 213
-1174, 53, 310
-1225, 92, 403
-1112, -3, 280
-1044, -90, 258
-1142, 33, 281
-1266, 200, 343
-1272, 207, 409
-1177, 159, 292
-1160, 176, 268
-1225, 276, 299
-1256, 342, 319
-1215, 325, 323
-1150, 302, 291
-1096, 257, 282
-1045, 203, 273
-1002, 155, 290
-974, 104, 327
-974, 104, 327
-970, 72, 329
-960, 24, 330
-960, -2, 347
-954, -25, 401
-943, -16, 425
-925, -42, 412
-918, -84, 366
-918, -84, 366
-936, -92, 365
-947, -73, 409
-940, -88, 457
-923, -137, 427
-911, -171, 396
-922, -170, 424
-918, -161, 450
-922, -184, 466
-926, -248, 473
-913, -297, 427
-919, -290, 384
-915, -289, 378
-925, -302, 419
-936, -291, 416
-940, -303, 415
-940, -303, 415
-941, -294, 397
-939, -261, 382
-950, -226, 371
-923, -276, 371
-913, -299, 374
-918, -295, 405
-908, -299, 394
-879, -328, 363
-872, -365, 381
-868, -405, 423
-868, -421, 448
-861, -445, 426
-864, -453, 400
-868, -443, 393
-,-,-
-721, -371, -58
-791, -339, -121
-835, -378, 1
-835, -378, 1
-866, -409, 145
-848, -413, 103
-802, -367, 13
-776, -442, 54
-789, -447, 118
-855, -404, 188
-913, -323, 209
-966, -264, 255
-960, -285, 217
-981, -256, 141
-1000, -211, 82
-1024, -170, 63
-984, -161, 48
-948, -163, 102
-948, -163, 102
-939, -173, 190
-965, -143, 235
-1047, -7, 216
-1063, 58, 178
-1023, 42, 166
-1001, -23, 218
-1053, -4, 248
-1137, 106, 267
-1163, 151, 270
-1150, 171, 243
-1151, 151, 214
-1218, 228, 233
-1259, 303, 298
-1252, 332, 335
-1216, 322, 335
-1178, 330, 290
-1178, 330, 290
